Song_ID,Chart_Year,Chart_Position,Title,Num_of_Artists,Artist(s),Main_ArtistOne_ID,Main_ArtistTwo_ID,Main_ArtistThree_ID,Main_ArtistFour_ID,Featured_ArtistOne_ID,Featured_ArtistTwo_ID,Featured_ArtistThree_ID,Released_Date,Genre_ID,Song_Length,Album,log Spotify_streams,Spotify_Streams,Genre_ID,Genre_Type
153,2021,53,Starting Over,1,Chris Stapleton,50,,,,,,,10/16/2020,5,240,Starting Over,8.617933334,414890350,5,Country
154,2021,54,Body,1,Megan Thee Stallion,171,,,,,,,10/9/2020,14,171,Good News,8.553948809,358054230,14,Hip-Hop
155,2021,55,Willow,1,Taylor Swift,245,,,,,,,12/11/2020,23,214,evermore,8.986285905,968915504,23,Pop
156,2021,56,Bang!,1,AJR,10,,,,,,,7/30/2020,25,170,Ok ORCHESTRA,8.68002121,478653468,25,Pop Rock
157,2021,57,Better Together,1,Luke Combs,160,,,,,,,10/16/2020,5,219,What You See Is What You Get,8.616535858,413557459,5,Country
158,2021,58,You're Mines Still,2,Yung Bleu featuring Drake,277,,,,72,,,1/29/2021,26,226,Moon Boy,8.42037831,263256019,26,R&B
159,2021,59,Every Chance I Get,3,DJ Khaled featuring Lil Baby and Lil Durk,66,,,,151,152,,4/30/2021,14,236,KHALED KHALED,8.59736873,395702442,14,Hip-Hop
160,2021,60,Essence,3,Wizkid featuring Justin Bieber and Tems,268,,,,130,247,,4/9/2021,1,263,Essence,8.200451631,158654221,1,Afrobeat
161,2021,61,Chasing After You,2,Ryan Hurd and Maren Morris,220,165,,,,,,4/9/2021,5,207,Pelago,8.331686203,214627913,5,Country
162,2021,62,The Good Ones,1,Gabby Barrett,90,,,,,,,10/16/2020,5,215,Goldmine,8.417587459,261569715,5,Country
163,2021,63,Leave Before You Love Me,2,Marshmello and Jonas Brothers,168,124,,,,,,5/21/2021,23,154,Leave Before You Love Me,8.987086114,970702424,23,Pop
164,2021,64,Glad You Exist,1,Dan + Shay,60,,,,,,,3/12/2021,23,144,Good Things,8.328758255,213185791,23,Pop
165,2021,65,Lonely,2,Justin Bieber and Benny Blanco,130,23,,,,,,10/16/2020,23,149,Justice,8.957982705,907784379,23,Pop
166,2021,66,Beggin',1,Måneskin,164,,,,,,,8/8/2017,23,211,Chosen,9.267169091,1849988764,23,Pop
167,2021,67,Streets,1,Doja Cat,69,,,,,,,3/13/2020,26,226,Hot Pink,9.103922829,1270348352,26,R&B
168,2021,68,What's Next,1,Drake,72,,,,,,,3/5/2021,14,178,Scary Hours 2,8.607974086,405484340,14,Hip-Hop
169,2021,69,Famous Friends,2,Chris Young and Kane Brown,51,135,,,,,,3/19/2021,5,166,Famous Friends,8.299045793,199088325,5,Country
170,2021,70,Lil Bit,2,Nelly and Florida Georgia Line,187,86,,,,,,4/30/2021,5,195,Heartland,8.447203295,280029184,5,Country
171,2021,71,Thot Shit,1,Megan Thee Stallion,171,,,,,,,6/11/2021,14,184,Thot Shit,8.551053085,355674791,14,Hip-Hop
172,2021,72,Late at Night,1,Roddy Ricch,218,,,,,,,6/25/2021,26,174,LIVE LIFE FAST,8.443860943,277882337,26,R&B
173,2021,73,Kings & Queens,1,Ava Max,16,,,,,,,3/13/2020,23,162,Heaven & Hell,9.035521411,1085229052,23,Pop
174,2021,74,Anyone,1,Justin Bieber,130,,,,,,,1/1/2021,23,190,Justice,8.871570889,743996494,23,Pop
175,2021,75,Track Star,1,Mooski,178,,,,,,,6/19/2020,14,199,Track Star,8.001740954,100401674,14,Hip-Hop
176,2021,76,Time Today,1,Moneybagg Yo,177,,,,,,,10/2/2020,14,136,A Gangsta's Pain,8.362416285,230364888,14,Hip-Hop
177,2021,77,Cry Baby,2,Megan Thee Stallion featuring DaBaby,171,,,,59,,,1/11/2021,23,137,Good News,8.349709373,223722350,23,Pop
178,2021,78,All I Want for Christmas Is You,1,Mariah Carey,166,,,,,,,10/29/1994,3,241,Merry Christmas,9.336803438,2171718035,3,Christmas
